artist,title,lyrics,mood,year
Jason Derulo,Colors,"Oh, what a feeling
Look what we've overcome
Oh, I'm gonna wave-a-wave my flag
And count all the reasons
We are the champions
There ain't no turning, turning back

Saying, oh... can't you taste the feeling, feeling
Saying, oh... we all together singing

Look how far we've come now, now, now, now
There's beauty in our unity we've found
I'm ready, I'm ready
We still got a new way
But look at how far we've come now, now, now, now
Hands up for your colors

Ready the people
A new day has just begun
And I wear my colors on my back (celebrate, celebrate)
We're created equal
One race, and that's human
Can't wait till they all see, all see dance

Saying, oh... can't you taste the feeling, feeling
Saying, oh... we all together singing

Look how far we've come now, now, now, now
There's beauty in our unity we've found
I'm ready, I'm ready
We still got a new way
But look at how far we've come now, now, now, now
Hands up for your colors...
One hand, two hands for your colors...
Show your true colors

Here we go (here we go)
Let's put on a show (let's put on a show right now)
Let me see your hands up
Let me see your hands up
Here we go

Look how far we've come now, now, now, now
There's beauty in our unity we've found
I'm ready, I'm ready
We still got a new way
But look at how far we've come now, now, now, now
Hands up for your colors
There's beauty in our unity we've found
One hand, two hands for your colors
There's beauty in our unity we've found
Show your true colors

Here we go (here we go)
Let's put on a show
Hands up for your colors
Represent your country
Raise your flag
Show your true colors",happy,2018
Bruno Mars,That's What I Like,"Hey, hey, hey
I got a condo in Manhattan
Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'
Go pop it for a player, pop-pop it for me
Turn around and drop it for a player, drop-drop it for me
I'll rent a beach house in Miami
Wake up with no jammies (nope)
Lobster tail for dinner
Julio, serve that scampi
You got it if you want it, got, got it if you want it
Said you got it if you want it, take my wallet if you want it, now
Jump in the Cadillac
(Girl, let's put some miles on it)
Anything you want
(Just to put a smile on you)
You deserve it baby, you deserve it all
And I'm gonna give it to you
Cool jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my fleeka
Girl, I'll be a fleeko, mamacita
I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris
Everything twenty-four karats
Take a look in that mirror (take a look)
Now tell me who's the fairest
Is it you? (is it you?) is it me? (is it me?)
Say it's us (say it's us) and I'll agree, baby
Jump in the Cadillac
(Girl, let's put some miles on it)
Anything you want
(Just to put a smile on you)
You deserve it baby, you deserve it all
And I'm gonna give it to you
Cool jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
You say you want a good time
Well here I am, baby, here I am, baby
Talk to me, talk to me, talk to me
Talk to me, tell me what's on your mind
What's on your mind
If you want it, girl, come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do
Cool jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like (that's what I like)
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like (that's what I like)
Lucky for you, that's what I like, that's what I like
",happy,2017
Shawn Mendes,There's Nothing Holdin' Me Back,"I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'Cause everytime that she gets close, yeah
She pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back
She says that she's never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation
Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
'Cause if we lost our minds and we took it way too far
I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright
'Cause if we lost our minds and we took it way too far
But I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby
Baby, there's nothing holding me back
",happy,2017
Calvin Harris,Feels,"Hey
No nothing ever lasts forever, no
One minute you're here and the next you're gone
So I respect you, wanna take it slow (hey)
I need a mental receipt to know this moment I owe
Do you mind if I steal a kiss? (Chop, chop)
A little souvenir, can I steal it from you?
To memorize the way you shock me (yeah)
The way you move it here (hey)
Just wanna feel it from you (hey, ooh)
Don't be afraid to catch feels (ha)
Ride drop top and chase thrills (hey)
I know you ain't afraid to pop pills (hey)
Baby, I know you ain't scared to catch feels
Feels with me
I'm your window shopper (hey hi), sucker for your love, oh (yes)
I'm wearing your goggles, virtual (virtual) reality (hey yeah)
It ain't what it cost you, it might be a dollar (hey)
As long as it shocks you, memory, electricity
Do you mind if I steal a kiss? (Chop, chop)
A little souvenir (hey), can I steal it from you? (Oh, yeah)
To memorize the way you shock me (yeah)
The way you move it here (hey)
Just wanna feel it from you (hey, ooh)
Don't be afraid to catch feels (ha)
Ride drop top and chase thrills (oh oh oh, ah)
I know you ain't afraid to pop pills (hey)
Baby, I know you ain't scared to catch feels (straight up)
Feels with me (woah)
Goddamn, I know you love to make an entrance
Do you like getting paid or getting paid attention? (Like, woah)
You mixed the wrong guys with the right intentions
In the same bed, but it still feel long distance (yeah, yeha)
You're looking for a little more consistency (I know)
But when you stop looking you gon' find what's meant to be
And honestly, I'm way too done with the hoes
I cut off all my exes for your x and o's (hey)
I feel my old flings was just preparing me (me)
When I say I want you, say it back, parakeet
Flyin' first class through the air, Airbnb
I'm the best you had, you just be comparing me to me
I'ma ""at"" this at you, if I put you on my phone
And upload it, it'd get maximum views
I came through in the clutch with the lipsticks and phones
Wear your fave cologne just to get you alone
Don't be afraid to catch feels
Don't be afraid to catch these feels
Ride drop top and chase thrills (yeah, yeah yeah yeah yeah yeah yeah)
I know you ain't afraid to pop pills (I know)
Baby, I know you ain't scared to catch feels (woah, woah, woah)
Feels with me
Don't be afraid to catch feels (no, no)
Don't be afraid, baby, don't be afraid
Ride drop top and chase thrills (woah, okay)
I know you ain't afraid to pop pills
I know, I know, I know
Baby, I know you ain't scared to catch feels
Feels with me
",happy,2017
"Martin Garrix, Troye Sivan",There for You,"I woke up pissed off today
And lately everyone feels fake
Somewhere I lost a piece of me
Smoking cigarettes on balconies
But I can't do this alone
Sometimes I just need a light
If I call you on the phone
Need you on the other side
So when your tears roll down your pillow like a river
I'll be there for you
I'll be there for you
When you're screaming, but they only hear you whisper
I'll be loud for you
But you gotta be there for me too
But you gotta be there for me too
Last year took a toll on me
But I made it with you next to me
Around the world and back again
I hope you're waiting at the end
But I can't do this alone
Sometimes I just need a light
If I call you on the phone
Need you on the other side
So when your tears roll down your pillow like a river
I'll be there for you
I'll be there for you
When you're screaming, but they only hear you whisper
I'll be loud for you
I'll be loud for you
I got you, I promise
Let me be honest
Love is a road that goes both ways
When your tears roll down your pillow like a river
I'll be there for you
But you gotta be there for me too
But you gotta be there for me too
Boy, I'm holding on to something
Won't let go of you for nothing
I'm running, running, just to keep my hands on you
There was a time that I was so blue
What I got to do to show you
I'm running, running, just to keep my hands on you
Running, running, just to keep my hands on you
Running, running, just to keep my hands on you
So I'm running, running, just to keep my hands on you
But you gotta be there for me too
But you gotta be there for me too",happy,2017
Jonas Blue,Mama,"Where should we run to?
We got the world in our hands and we're ready to play
They say we're wasted
But how can we waste it if we're loving every day?
Okay
I got the keys to the universe so stay
With me, 'cause I got the keys, baby
Don't wanna wake up one day wishing that we'd done more
I wanna live fast and never look back, that's what we here for
Don't wanna wake up one day wondering ""where'd it all go?""
'Cause we'll be home before we know, I wanna hear you sing it
Hey, mama, don't stress your mind
We coming home tonight
Hey, mama, we gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind
Mama, mama, mama, hey
We coming home tonight
Mama, mama, mama, hey
We coming home tonight
Where should we run to?
We got a ticket that takes us wherever we like
We got our problems
But just for the minute, let's push all our troubles aside
Alright, 'cause we got the keys to the universe
Inside our minds, yeah, we got the keys, babe
Don't wanna wake up one day wishing that we'd done more
I wanna live fast and never look back, that's what we here for
Don't wanna wake up one day wondering ""where'd it all go?""
'Cause we'll be home before we know, I wanna hear you sing it
Hey, mama, don't stress your mind
We coming home tonight
Hey, mama, we gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind (don't stress your mind)
Hey, mama, don't stress your mind
We coming home tonight
Hey, mama, we gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind
Mama, mama, mama, hey
We coming home tonight
Mama, mama, mama, hey
We coming home tonight
",happy,2017
Liam Payne,"Strip That Down
","Huncho
Quavo
Yo yo
You know, I've been taking some time
And I've been keeping to myself (self)
I had my eyes up on the prize
Ain't watching anybody else
But your love, it hit me hard, girl
Yeah, you're bad for my health
I love the cards, that I've been dealt
Do you feel the same as well?
You know, I used to be in 1D (now I'm out, free)
People want me for one thing (that's not me)
I'm not changing, the way, that I (used to be)
I just wanna have fun and (get rowdy)
One Coke and Bacardi (sippin' lightly)
When I walk inside the party (girls on me)
F1 type Ferrari (6 gear speed)
Girl, I love it when your body (grinds on me)
Oh yeah
You know, I love it, when the music's loud
But c'mon, strip that down for me, baby
Now there's a lot of people in the crowd
But only you can dance with me
So put your hands on my body
And swing that round for me, baby (swing)
You know, I love it when the music's loud
But c'mon, strip that down for me (yeah, yeah, yeah, yeah)
Oh, strip that down, girl
Love when you hit the ground, girl (yeah, yeah, yeah, yeah)
Oh, strip that down, girl
Love, when you hit the ground
You know, that since the day I met you
Yeah, you swept me off my feet
You know, that I don't need no money
When your love is beside me
Yeah, you opened up my heart
And then you threw away the key
Girl, now it's just you and me
And you don't care 'bout where I've been
You know, I used to be in 1D (now I'm out, free)
People want me for one thing (that's not me)
I'm not changing, the way that I (used to be)
I just wanna have fun and (get rowdy, ooh)
One Coke and Bacardi (sippin' lightly)
When I walk inside the party (girls on me)
F1 type Ferrari (6 gear speed)
Girl, I love it when your body (grinds on me, baby)
Ooh
You know, I love it, when the music's loud
But c'mon, strip that down for me, baby
Now there's a lot of people in the crowd
But only you can dance with me
So put your hands on my body
And swing that round for me, baby (yeah)
You know, I love it when the music's loud
But c'mon, strip that down for me (yeah, yeah, yeah, yeah)
Baby, uh, strip that down, girl
Love when you hit the ground, girl (yeah, yeah, yeah, yeah) (strip that down)
Oh, strip that down, girl
Love, when you hit the ground (yeah, yeah, yeah, yeah)
Oh, strip that down, girl
Love when you hit the ground, girl (yeah, yeah, yeah, yeah) (yeah)
Oh, strip that down, girl
Love, when you hit the ground (yeah, yeah, yeah, yeah)
(Quavo)
She gon' strip it down for a thug, yeah (strip it down)
Word around town, she got the buzz, yeah (word)
Five shots in, she in love now (shots)
I promise, when we pull up, shut the club down (hey)
I took her from her man, don't nobody know (know)
If you brought the CL, better drive slow (slow)
She know how to make me feel with my eyes closed (skrrt skrrt)
Anything goes down with the Huncho (Huncho)
You know, I love it, when the music's loud
But c'mon, strip that down for me, baby
Now there's a lot of people in the crowd
But only you can dance with me
So put your hands on my body
And swing that round for me, baby
You know, I love it when the music's loud
But c'mon, strip that down for me (yeah, yeah, yeah, yeah)
Yeah, yeah, yeah, yeah, c'mon, strip that down for me
(Yeah, yeah, yeah, yeah) (Ayy)
Don't say nothing, girl, strip that down for me (strip it down)
(Yeah, yeah, yeah, yeah)
All I want, girl, if you strip that down for me (strip it down)
(Yeah, yeah, yeah, yeah)
You're the one, girl, c'mon, strip that down for me
(Yeah, yeah, yeah, yeah)
",happy,2017
Bebe Rexha,The Way I Are ,"I'm sorry, I'm not the most pretty
I'll never ever sing like Whitney
Ooh, but I still wanna dance with somebody (Tunechi)

[Verse 1: Bebe Rexha & Lil Wayne]
So lets let our hearts bleed, 'til they turn to rust
Gonna live it up, 'cause it's dangerous
No, I don't wanna play the part (Amen)
I just wanna dance with somebody (Amen)
I just wanna dance with somebody (yeah)

[Chorus: Bebe Rexha]
I just wanna dance with somebody
I just wanna dance with somebody
It could be anybody, tell me, are you that somebody?
Don't matter who you are, just love me the way I are
I just wanna dance with somebody
I just wanna dance with somebody

[Verse 2: Lil Wayne]
I just wanna dance with somebody
But I could never ever dance like Bobby
You can dance, I'ma watch your body
I just wanna stand right behind it
I just want a chance with somebody
Pop a couple xans with somebody
Every time she dance it's exotic
Throw a bunch of bands arms get tired
I'm the God I just want a goddess
Gotta use a bedroom for a closet
Got a whole bedroom, on the private
I know her body inside, out science
Kiss both boobs right before I sign 'em
Can't dance but kinda grind 'em
Yeah, I be right behind her, spinal
We can turn this dance floor to a island

[Chorus: Bebe Rexha & Lil Wayne]
I just wanna dance with somebody (Mula)
I just wanna dance with somebody
It could be anybody, tell me, are you that somebody?
(Tunechi)
Don't matter who you are, just love me the way I are
I just wanna dance with somebody
I just wanna dance with somebody

[Bridge: Bebe Rexha]
Bloody noses, speeding cars
Lethal doses, desperate hearts
Roll it up 'cause we so ill
Heaven knows we love the thrill
No, I don't wanna play the part
I just wanna dance with somebody
I just wanna dance with somebody

[Chorus: Bebe Rexha & Lil Wayne]
I just wanna dance with somebody (Mula)
I just wanna dance with somebody
It could be anybody, tell me, are you that somebody?
(Tunechi)
Don't matter who you are, just love me the way I are
I just wanna dance with somebody
I just wanna dance with somebody
I just wanna dance with somebody
I just wanna dance with somebody
It could be anybody, tell me, are you that somebody?
Don't matter who you are, just love me the way I are
I just wanna dance with somebody
I just wanna dance with somebody",happy,2017
Little Mix,No More Sad Songs,"I keep trying, nothing's working
I still wanna know, if you're alone
I keep trying to put this behind me
I still wanna know who's taking you home
For tonight, I'm going to get my mind off it
Don't care that someone's got his hands all over my body
Stay out all night, go where the music is loud
So I don't have to think about it, I'm beggin', please, don't play
No more! (sad songs)
No more! (sad songs)
No more! (sad songs)
I'm beggin', please, don't play
No more! (sad songs)
No more! (sad songs)
No more! (sad songs)
I'm beggin', please, don't play no more sad songs
Dancing with danger, talking to strangers
Don't care where I go, just can't be alone
They'll never know me, like you used to know me, no
For tonight, I'm going to get my mind off it
Don't care that someone's got his hands all over my body
Stay out all night, go where the music is loud
So I don't have to think about it, I'm beggin', please, don't play
No more! (sad songs)
No more! (sad songs)
No more! (sad songs)
I'm beggin', please, don't play
No more! (sad songs)
No more! (sad songs)
No more! (sad songs)
I'm beggin', please, don't play
No more sad songs (no, no more sad songs)
No more sad songs
No more sad songs (no, no more sad songs)
No more sad songs
Going home, take the long way round
Lights pass, sit back with the windows down
Still got you on my mind
Starting to realise
No matter what I do
I will only hurt myself, tryna hurt you
And if I turn the music loud, just to drown you out
I'm beggin', please don't play
No more! (sad songs)
No more! (sad songs)
No more! (sad songs)
I'm beggin', please, don't play
No more! (sad songs)
No more! (sad songs)
No more! (sad songs)
I'm beggin', please, don't play
No more sad songs (no, no more sad songs)
No more sad songs
No more sad songs (no, no more sad songs)
No more sad songs 
No more sad songs
",happy,2017
Jason Derulo,If I'm Lucky,"Woo, who are you to say, that I didn't love you?
'Cause I didn't love the way you wanted
And who am I to blame? When I didn't trust you
Enough to let you in the way I wanted, stop, okay

[Pre-Chorus]
Vodka on my lips (yeah, yeah), took too many drinks (yeah, yeah)
Makes me reminisce all the way down (woo)
To my happy place (yeah, yeah), you're my happy place (yeah, yeah)
I can't handle us now

[Chorus]
If I'm lucky I'll meet ya, flipside of the graveyard
'Cause things didn't work out in this life, but someday
If I'm lucky, I'll meet ya, heaven or high water
'Cause things didn't work out in this life, but maybe
If I'm lucky, eh
If I'm lucky, eh
Uh, I'll get your loving (yeah)
'Cause things didn't work out in this life, but someday

[Verse 2]
Who am I to say, that it wasn't good, babe? Mmmm
Just thinkin' 'bout our loving gives me chills
Up and down my spine, uh, I dare you not to miss me, yeah
'Cause what we had was more than just a thrill, stop, okay

[Pre-Chorus]
Vodka on my lips (yeah, yeah), took too many drinks (yeah, yeah)
Makes me reminisce all the way down (woo)
To my happy place (yeah, yeah), you're my happy place (yeah, yeah)
I can't handle us now

[Chorus]
If I'm lucky I'll meet ya, flipside of the graveyard
'Cause things didn't work out in this life, but someday (yeah)
If I'm lucky, I'll meet ya, heaven or high water
'Cause things didn't work out in this life, but maybe (but maybe)
If I'm lucky, eh (oh)
If I'm lucky, eh (if I'm lucky, babe)
Uh, I'll get your loving, miss when you say (yeah), I really miss it, babe
'Cause things didn't work out in this life, but someday

[Pre-Chorus]
I'm selfish for you (ooh)
I'm selfish for you (ooh)

[Chorus]
If I'm lucky I'll meet ya, flipside of the graveyard (if I'm lucky I'll meet ya on the flipside)
'Cause things didn't work out in this life, but someday ('cause things didn't) (yeah)
If I'm lucky, I'll meet ya, heaven or high water (ooh)
'Cause things didn't work out in this life, but maybe (things didn't work out)
If I'm lucky, eh (if I'm lucky, babe, oh)
If I'm lucky, eh (if I'm lucky, baby, oh)
Uh, I'll get your loving (yeah)
'Cause things didn't work out in this life, but someday (woo)

[Pre-Chorus]
I'm selfish for you (ooh, ooh, woah, I'm)
I'm selfish for you (selfish, ooh)
And only you, baby",happy,2017
Rita Ora,Your Song,"I woke up with a fear this morning
But I can taste you on the tip of my tongue
Alarm without no warning
You're by my side and we've got smoke in our lungs
Last night we were way up, kissing in the back of the cab
And then you say, ""Love, baby, let's go back to my flat""
And when we wake up, never had a feeling like that
I got a reason, so man, put that record on again
I don't want to hear sad songs anymore
I only want to hear love songs
I found my heart up in this place tonight
Don't want to sing mad songs anymore
Only want to sing your song
'Cause your song's got me feeling like I'm
I'm in love, I'm in love, I'm in love
Yeah, you know, your song's got me feeling like I'm
No fear but I think I'm falling
I'm not proud
But I'm usually the type of girl that would hit and run
No risk so I think I'm all in
When I kiss your lips, feel my heartbeat thump
And now we're way up, dancing on the roof of the house
And then we make love, right there on your best friend's couch
And then you say, ""Love, this is what it's all about""
So keep on kissing my mouth and put that record on again
I don't want to hear sad songs anymore
I only want to hear love songs
I found my heart up in this place tonight
Don't want to sing mad songs anymore
Only want to sing your song
'Cause your song's got me feeling like I'm
I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love
Yeah, you know, your song's got me feeling like I'm
I don't want to hear sad songs anymore
I only want to hear love songs
I found my heart up in this place tonight
I don't want to sing mad songs anymore
I only want to sing your song
'Cause your song's got me feeling like I'm
I don't want to hear sad songs anymore
I only want to hear love songs
I found my heart up in this place tonight
Don't want to sing mad songs anymore
Only want to sing your song
'Cause your song's got me feeling like I'm
I'm in love, I'm in love, I'm in love (I'm in love)
I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love (I'm in love)
Yeah, you know, your song's got me feeling like I'm
",happy,2017
Martin Solveig,All Stars,"We all stars, we are one
We light up the night like a black sun
We all shine, we are chrome
And we are shimmering
Turn on, turn on (turn on)
Play it loud, we don't care
And dance like there's nobody there
Light up the night, yeah
Light it up every night
'Cause we are shimmering
Turn on, turn on (turn on)
We all stars, we are one
We light up the night like a black sun
We all shine, we are chrome
And we are shimmering
Come on, come on y'all
Hey!
We all stars, we are one
We light up the night like a black sun
We all shine, we are chrome
And we are shimmering
Turn on, turn on (turn on)
We got something to tell
Spin like a carousel
Don't like it, go to hell
This is our favorite song
Lights on everybody
We party legendary
High on sour and fury (hey)
Turn on now
Calling all stars, come on
Calling all stars, come on
Calling all stars, come on
Calling all stars, come on
Hey!
We all stars, we are one
Calling all stars (stars)
Calling all stars, come on
We all shine, we are chrome
And we are shimmering
Turn on, turn on
Calling all stars, come on
",happy,2017
Taylor Swift,Shake It Off,"I stay out too late, got nothin' in my brain
That's what people say, mmm hmm, that's what people say, mmm hmm
I go on too many dates, but I can't make 'em stay
At least that's what people say mmm mmm, that's what people say mmm mmm
But I keep cruising, can't stop, won't stop moving
It's like I got this music in my mind, sayin' gonna be alright
'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
I'll never miss a beat, I'm lightning on my feet
And that's what they don't see mmm mmm, that's what they don't see mmm mmm
I'm dancing on my own (dancing on my own), I'll make the moves up as I go (moves up as I go)
And that's what they don't know mmm mmm, that's what they don't know mmm mmm
But I keep cruising, can't stop, won't stop grooving
It's like I got this music in my mind saying it's gonna be alright
'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
I shake it off, I shake it off
I, I shake it off, I shake it off
I, I shake it off, I shake it off
I, I shake it off, I shake it off
Hey, hey, hey
Just think while you've been getting down and out about the liars and the dirty, dirty cheats in the world 
You could have been getting down to this sick beat
My ex-man brought his new girlfriend
She's like ""oh my God"", but I'm just gonna shake it
And to the fella over there with the hella good hair
Won't you come on over, baby, we can shake, shake, shake, yeah oh
'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate (haters gonna hate me)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake (the fakers baby)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
I shake it off, I shake it off
I, I shake it off, I shake it off
I, I shake it off, I shake it off
I, I shake it off, I shake it off
I shake it off, I shake it off
I, I shake it off, I shake it off
I, I shake it off, I shake it off
I, I shake it off, I shake it off
",happy,2014
Zedd,Stay,"[Verse 1]
Waiting for the time to pass you by
Hope the winds of change will change your mind
I could give a thousand reasons why
And I know you, and you've got to

[Pre-Chorus 1]
Make it on your own, but we don't have to grow up
We can stay forever young
Living on my sofa, drinking rum and cola
Underneath the rising sun
I could give a thousand reasons why
But you're going, and you know that

[Chorus]
All you have to do is stay a minute
Just take your time
The clock is ticking, so stay
All you have to do is wait a second
Your hands on mine
The clock is ticking, so stay

[Post-Chorus]
All you have to do is
All you have to do is stay

[Verse 2]
Won't admit what I already know
I've never been the best at letting go
I don't wanna spend the night alone
Guess I need you, and I need to

[Pre-Chorus 2]
Make it on my own, but I don't wanna grow up
We can stay forever young
Living on my sofa, drinking rum and cola
Underneath the rising sun
I could give a million reasons why
But you're going, and you know that

[Chorus]
All you have to do is stay a minute
Just take your time
The clock is ticking, so stay
All you have to do is wait a second
Your hands on mine
The clock is ticking, so stay

[Post-Chorus]
All you have to do is
All you have to do is stay

[Bridge]
All you have to do is stay
So stay, yeah

[Chorus]
All you have to do is stay a minute
Just take your time
The clock is ticking, so stay
All you have to do is wait a second
Your hands on mine
The clock is ticking, so stay
All you have to do is stay",happy,2017
"Selena Gomez, Kygo",It Ain't Me,"I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough
No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own
Who's gonna walk you through the dark side of the morning?
Who's gonna rock you when the sun won't let you sleep?
Who's waking up to drive you home when you're drunk and all alone?
Who's gonna walk you through the dark side of the morning?
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me
I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The Polaroids and the memories
But you know I'm gonna leave
Behind the worst of us
Who's gonna walk you through the dark side of the morning?
Who's gonna rock you when the sun won't let you sleep?
Who's waking up to drive you home when you're drunk and all alone?
Who's gonna walk you through the dark side of the morning?
It ain't me, no, no
It ain't me, no, no
It ain't me, no, no
Who's gonna walk you through the dark side of the morning?
It ain't me
It ain't me 
It ain't me, ah, ah
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful) 
It ain't me (The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me",happy,2017
Ariana Grande,Break Free,"If you want it, take it
I should have said it before
Tried to hide it, fake it
I can't pretend anymore
I only want to die alive
Never by the hands of a broken heart
I don't wanna hear you lie tonight
Now that I've become who I really am
This is the part when I say I don?�t want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
This is the part when I say I don?�t want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
You were better, deeper
I was under your spell
Like a deadly fever, yeah, babe
On the highway to hell
I only want to die alive
Never by the hands of a broken heart
I don't wanna hear you lie tonight
Now that I've become who I really am
This is the part when I say I don?�t want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
This is the part when I say I don?�t want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
Thought of your body, I came alive
It was lethal, it was fatal
In my dreams it felt so right
But I woke up every time
Oh baby
This is the part when I say I don?�t want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
This is the part when I say I don?�t want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more",happy,2014
